releaseYear,genre,mean_rating,numVotes,unique_titles_count
1999,Fantasy,8.6,1491526,1
1999,Horror,8.4,12786,1
1999,Mystery,8.149999999999999,1240075,2
1999,Sci-Fi,8.7,2162763,1
1999,Thriller,8.5,3579143,2
2000,Action,8.3,2167142,5
2000,Adventure,8.059999999999999,3049877,5
2000,Animation,8.299999999999999,47468,3
2000,Comedy,8.292857142857143,2020609,14
2000,Crime,8.040000000000001,1220768,5
2000,Drama,8.106666666666666,4866100,15
2000,Family,8.2,171198,2
2000,Fantasy,8.6,20399,1
2000,History,8.0,14659,1
2000,Musical,7.9,120995,1
2000,Mystery,8.15,1400245,2
2000,Romance,8.2,948988,5
2000,Sci-Fi,8.0,12416,1
2000,Thriller,8.1,1711633,3
2001,Action,8.64,908832,5
2001,Adventure,8.414285714285715,4980940,7
2001,Animation,8.333333333333334,2864787,6
2001,Biography,8.1,1036760,2
2001,Comedy,8.200000000000001,3468862,11
2001,Crime,8.233333333333334,755377,3
2001,Documentary,8.299999999999999,70860,3
2001,Drama,8.273333333333333,6608701,15
2001,Family,8.6,914957,1
2001,Fantasy,8.9,2116153,1
2001,History,8.7,604276,2
2001,Musical,8.1,124680,1
2001,Mystery,8.033333333333333,2317590,3
2001,Romance,8.066666666666668,950256,3
2001,Sci-Fi,8.0,884808,1
2001,Sport,8.1,124680,1
2001,Thriller,7.85,906076,2
2001,War,7.9,49791,1
2002,Action,8.142857142857142,1005802,7
2002,Adventure,8.540000000000001,2643559,5
2002,Animation,8.45,170011,2
2002,Biography,8.233333333333333,2159869,3
2002,Comedy,8.371428571428572,289229,7
2002,Crime,8.346153846153847,2993896,13
2002,Documentary,8.0,150919,1
2002,Drama,8.318181818181818,6508067,22
2002,Fantasy,8.8,1880153,1
2002,Game-Show,8.1,10117,1
2002,History,8.1,17789,1
2002,Music,8.5,971571,1
2002,Mystery,8.1,881414,5
2002,Reality-TV,8.1,10117,1
2002,Romance,8.033333333333333,159167,3
2002,Sci-Fi,8.9,291380,1
2002,Sport,8.7,132796,1
2002,Thriller,8.6,1094380,3
2003,Action,8.233333333333333,3928877,9
2003,Adventure,8.377777777777778,5251831,9
2003,Animation,8.433333333333332,1275698,3
2003,Biography,8.0,25704,1
2003,Comedy,8.35,1985639,12
2003,Crime,8.075,2240241,8
2003,Documentary,8.08,154847,5
2003,Drama,8.159090909090908,5308981,22
2003,Fantasy,8.3,3975900,7
2003,Game-Show,8.6,34966,1
2003,History,8.0,47778,2
2003,Music,8.8,76288,1
2003,Musical,8.15,103510,2
2003,Mystery,8.216666666666667,1546209,6
2003,Reality-TV,8.3,55915,1
2003,Romance,8.15,156563,4
2003,Thriller,8.1,1267444,2
2004,Action,8.291666666666666,2236968,12
2004,Adventure,8.283333333333333,3245588,12
2004,Animation,8.328571428571427,1583710,7
2004,Biography,8.1,861523,3
2004,Comedy,8.3625,1144853,16
2004,Crime,8.288888888888888,1280436,9
2004,Documentary,8.6,16465,1
2004,Drama,8.244117647058824,6208407,34
2004,Family,8.05,1217710,2
2004,Fantasy,8.3,1426021,5
2004,History,8.299999999999999,898414,3
2004,Horror,8.133333333333333,657384,3
2004,Musical,8.2,102132,1
2004,Mystery,8.4,665957,3
2004,Romance,8.1625,2264856,8
2004,Sci-Fi,8.15,1209762,2
