id,title,genres,averageRating,numVotes,releaseYear
tt13634792,Mouse,"Action, Crime, Mystery",8.6,14771,2021
tt1877368,The Great British Baking Show,"Game-Show, Reality-TV",8.6,14259,2010
tt0086831,"Yes, Prime Minister",Comedy,8.6,14115,1986
tt5320412,Moon Lovers: Scarlet Heart Ryeo,"Action, Drama, Fantasy",8.6,13694,2016
tt13400006,Mr. Queen,"Comedy, Fantasy, Romance",8.6,13254,2020
tt9103932,Greatest Events of WWII in Colour,"Documentary, History, War",8.6,12676,2019
tt0118273,Brass Eye,Comedy,8.6,12313,1997
tt31862849,Very Parivarik,Comedy,8.6,12045,2024
tt28093628,Common Side Effects,"Animation, Comedy, Drama",8.6,11743,2024
tt31324295,Lovely Runner,"Comedy, Fantasy, Music",8.6,11371,2024
tt0426719,Hunter x Hunter,"Action, Adventure, Animation",8.6,11045,1999
tt18249282,Shoresy,"Action, Comedy, Drama",8.6,10971,2022
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,10682,2019
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,10539,2015
tt10048342,The Queen's Gambit,Drama,8.5,620564,2020
tt2306299,Vikings,"Action, Adventure, Drama",8.5,618799,2013
tt1442437,Modern Family,"Comedy, Drama, Romance",8.5,517763,2009
tt4158110,Mr. Robot,"Crime, Drama, Thriller",8.5,442574,2015
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,371379,2017
tt1124373,Sons of Anarchy,"Crime, Drama, Thriller",8.5,341120,2008
tt1586680,Shameless,"Comedy, Drama",8.5,312518,2011
tt6763664,The Haunting of Hill House,"Drama, Horror, Mystery",8.5,310919,2018
tt1439629,Community,Comedy,8.5,303887,2009
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,293328,2013
tt14452776,The Bear,"Comedy, Drama",8.5,271753,2022
tt0149460,Futurama,"Adventure, Animation, Comedy",8.5,271719,1999
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,267176,2010
tt0436992,Doctor Who,"Adventure, Drama, Sci-Fi",8.5,257882,2005
tt9253284,Andor,"Action, Adventure, Drama",8.5,226541,2022
tt1839578,Person of Interest,"Action, Crime, Drama",8.5,198516,2011
tt3230854,The Expanse,"Drama, Mystery, Sci-Fi",8.5,183977,2015
tt4179452,The Last Kingdom,"Action, Drama, History",8.5,178712,2015
tt2575988,Silicon Valley,Comedy,8.5,175029,2014
tt0487831,The IT Crowd,Comedy,8.5,171366,2006
tt3526078,Schitt's Creek,Comedy,8.5,162134,2015
tt12343534,Jujutsu Kaisen,"Action, Adventure, Animation",8.5,155944,2020
tt1758429,Spartacus: Gods of the Arena,"Action, Adventure, Biography",8.5,150512,2011
tt0290978,The Office,"Comedy, Drama",8.5,128604,2001
